"rowNo","type","stim1","stimFormat","ITI","key","keyboard","random","head","body","responseType","responseOptions","pageBreak","fixation","subjectGroup","cursor","required","identity condition","Time","time_block","ITI_ms","ITI_f","ITI_fDuration","timestamp","response","RT","correct","responseCode","browser","version","screenWidth","screenHeight","OS","OS_lang","GMT_timestamp","local_timestamp","trial_file_version","link","calibration","id","age","gender","ethnicity","duration_s"
"6","test","C2_036_DV_036_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.69","512740","s","6716","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"12","test","C2_291_DV_291_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.68","515724","l","2197","0",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"19","test","C2_258_DV_258_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.69","522885","s","6370","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"50","test","C2_095_DV_229_00",".jpg","800","l","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Mismatch","present","1","801","48","16.69","525420","l","1748","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"17","test","DV_004_C2_004_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.68","527884","s","1676","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"44","test","C2_092_DV_227_00",".jpg","800","l","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Mismatch","present","1","801","48","16.68","530093","l","1416","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"8","test","C2_032_DV_032_00",".jpg","800","s","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.68","534260","l","3381","0",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"53","test","DV_129_C2_199_00",".jpg","800","l","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Mismatch","present","1","801","48","16.68","536268","l","1219","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"56","test","C2_289_DV_039_00",".jpg","800","l","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Mismatch","present","1","801","48","16.68","538524","l","1457","1",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
"33","test","C2_290_DV_290_00",".jpg","800","l","s l","1",NA,NA,NA,NA,NA,"ITI","1","hide",NA,"Match","present","1","801","48","16.68","544325","s","5006","0",NA,"Chrome","120.0.0.0","1920","1080","Windows","en-GB","2024-01-15_11:51:30","2024-01-15_11:51:30","2023-12-13_11:01:32","https://www.testable.org/experiment/14865/146518/start","0.72","KN1","18","woman","South Asian","966.202"
