subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,ethnicity,duration_s
"1",Chrome,120.0.0.0,1920,1080,Windows,en-GB,2024-01-15_11:51:30,2024-01-15_11:51:30,2023-12-13_11:01:32,https://www.testable.org/experiment/14865/146518/start,0.72,KN1,"18",woman,South Asian,966.202

rowNo,type,stim1,stimFormat,ITI,key,keyboard,random,head,body,responseType,responseOptions,pageBreak,fixation,subjectGroup,cursor,required,identity condition,Time,time_block,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"6",test,C2_036_DV_036_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",512740,s,6716,"1",""
"12",test,C2_291_DV_291_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",515724,l,2197,"0",""
"19",test,C2_258_DV_258_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",522885,s,6370,"1",""
"50",test,C2_095_DV_229_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",525420,l,1748,"1",""
"17",test,DV_004_C2_004_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",527884,s,1676,"1",""
"44",test,C2_092_DV_227_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",530093,l,1416,"1",""
"8",test,C2_032_DV_032_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",534260,l,3381,"0",""
"53",test,DV_129_C2_199_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",536268,l,1219,"1",""
"56",test,C2_289_DV_039_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",538524,l,1457,"1",""
"33",test,C2_290_DV_290_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",544325,s,5006,"0",""
"55",test,DV_299_C2_111_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",546332,l,1205,"1",""
"40",test,DV_203_C2_277_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",549292,l,2164,"1",""
"24",test,C2_131_DV_131_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",553412,l,3331,"0",""
"26",test,C2_260_DV_260_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",556293,s,2091,"1",""
"60",test,C2_037_DV_030_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",558517,l,1429,"1",""
"45",test,C2_070_DV_128_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",561036,l,1730,"1",""
"28",test,DV_200_C2_200_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",565133,s,3307,"1",""
"27",test,C2_105_DV_105_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",569692,s,3762,"1",""
"20",test,C2_146_DV_146_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",573917,l,3433,"0",""
"22",test,C2_181_Dv_181_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",577789,s,3084,"1",""
"25",test,DV_190_C2_190_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",583125,s,4549,"1",""
"34",test,DV_059_C2_055_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",585317,l,1403,"1",""
"31",test,DV_166_C2_166_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",588941,s,2823,"1",""
"11",test,C2_294_DV_294_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",591669,s,1932,"1",""
"30",test,C2_071_DV_071_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",595181,s,2724,"1",""
"29",test,DV_008_C2_008_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",601901,s,5924,"1",""
"23",test,DV_062_C2_062_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",604821,s,2120,"1",""
"59",test,DV_078_C2_125_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",608245,l,2625,"1",""
"36",test,C2_012_DV_245_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",611669,l,2630,"1",""
"5",test,C2_080_DV_080_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",614092,s,1632,"1",""
"16",test,DV_064_C2_064_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",618077,s,3198,"1",""
"58",test,DV_303_C2_217_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",622045,l,3178,"1",""
"15",test,C2_112_DV_112_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",626349,s,3512,"1",""
"13",test,C2_226_DV_226_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",632245,s,5104,"1",""
"7",test,C2_053_DV_053_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",641956,l,8925,"0",""
"35",test,C2_038_DV_081_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",645765,l,3008,"1",""
"49",test,C2_288_DV_255_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",647964,l,1403,"1",""
"4",test,DV_002_C2_002_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",651405,s,2642,"1",""
"18",test,C2_040_DV_040_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",657413,s,5214,"1",""
"61",test,DV_237_C2_297_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",660101,l,1895,"1",""
"57",test,C2_051_DV_238_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",662573,l,1681,"1",""
"32",test,C2_140_DV_140_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",669908,s,6547,"1",""
"42",test,DV_020_C2_090_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",680133,l,9433,"1",""
"14",test,C2_142_DV_142_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",684309,s,3381,"1",""
"43",test,C2_222_DV_204_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",689061,l,3961,"1",""
"54",test,C2_076_DV_079_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",693988,l,4135,"1",""
"47",test,DV_067_C2_057_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",709005,l,14230,"1",""
"21",test,C2_271_DV_271_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",711676,s,1885,"1",""
"37",test,C2_035_DV_019_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",719741,l,7265,"1",""
"51",test,DV_007_C2_098_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",725117,l,4582,"1",""
"39",test,C2_179_DV_021_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",727789,l,1883,"1",""
"62",test,C2_077_DV_133_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",731245,s,2669,"0",""
"63",test,DV_013_C2_235_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",733852,l,1807,"1",""
"48",test,C2_023_DV_304_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",737451,l,2803,"1",""
"38",test,C2_009_DV_033_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",740492,s,2241,"0",""
"46",test,DV_130_C2_253_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",743756,l,2468,"1",""
"9",test,C2_182_DV_182_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",746365,s,1823,"1",""
"10",test,DV_118_C2_118_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",748748,s,1587,"1",""
"41",test,DV_044_C2_240_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",751277,l,1731,"1",""
"52",test,C2_174_DV_183_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",753389,l,1323,"1",""
"64",form,"","","","","","",How stressed did you feel during the previous task?,"-10 being completely relaxed, 0 being neither relaxed nor stressed, and +10 being extremely stressed",slider,-10_10_1,"1","","1","","1","",present,"",801,"","",765677,"0",11763,"0","0"
"110",test,DV_114_C2_126_00,.jpg,"800",l,s l,"2","","","","","",ITI,"1",hide,"",Mismatch,absent,"2",801,48,"16.69",774565,l,4231,"1",""
"114",test,DV_208_C2_206_00,.jpg,"800",l,s l,"2","","","","","",ITI,"1",hide,"",Mismatch,absent,"2",801,48,"16.68",777243,l,1889,"1",""
"87",test,DV_100_C2_100_00,.jpg,"800",s,s l,"2","","","","","",ITI,"1",hide,"",Match,absent,"2",801,48,"16.69",779916,s,1874,"1",""
"73",test,DV_167_C2_167_00,.jpg,"800",s,s l,"2","","","","","",ITI,"1",hide,"",Match,absent,"2",801,48,"16.68",782092,s,1381,"1",""
"97",test,DV_091_C2_211_00,.jpg,"800",l,s l,"2","","","","","",ITI,"1",hide,"",Mismatch,absent,"2",801,48,"16.68",784116,l,1237,"1",""
"101",test,DV_024_C2_085_00,.jpg,"800",l,s l,"2","","","","","",ITI,"1",hide,"",Mismatch,absent,"2",801,48,"16.68",785948,l,1033,"1",""
"103",test,DV_295_C2_216_00,.jpg,"800",l,s l,"2","","","","","",ITI,"1",hide,"",Mismatch,absent,"2",801,48,"16.68",788052,l,1319,"1",""
"104",test,DV_143_C2_132_00,.jpg,"800",l,s l,"2","","","","","",ITI,"1",hide,"",Mismatch,absent,"2",801,48,"16.69",795253,l,6400,"1",""
"119",test,DV_154_C2_042_00,.jpg,"800",l,s l,"2","","","","","",ITI,"1",hide,"",Mismatch,absent,"2",801,48,"16.68",797349,l,1307,"1",""
"107",test,C2_171_DV_185_00,.jpg,"800",l,s l,"2","","","","","",ITI,"1",hide,"",Mismatch,absent,"2",801,48,"16.68",799484,l,1338,"1",""
