subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,ethnicity,duration_s
"4",Chrome,120.0.0.0,1920,1080,Windows,en-GB,2024-01-15_12:07:58,2024-01-15_12:07:58,2023-12-13_11:01:32,https://www.testable.org/experiment/14865/146518/start,0.72,BR2,"19",woman,White,837.928

rowNo,type,stim1,stimFormat,ITI,key,keyboard,random,head,body,responseType,responseOptions,pageBreak,fixation,subjectGroup,cursor,identity condition,Time,time_block,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"387",test,C2_172_DV_172_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",431252,s,2600,"1",""
"416",test,C2_011_DV_049_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",433859,l,1821,"1",""
"398",test,C2_153_DV_153_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",436339,s,1683,"1",""
"392",test,DV_041_C2_041_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",438316,s,1189,"1",""
"377",test,DV_015_C2_015_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",440122,s,1010,"1",""
"409",test,C2_031_DV_083_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",444315,l,3402,"1",""
"417",test,C2_171_DV_185_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",448612,l,3511,"1",""
"412",test,C2_099_DV_025_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",450611,l,1205,"1",""
"408",test,C2_003_DV_018_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",453195,l,1789,"1",""
"389",test,C2_247_DV_247_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",454787,s,794,"1",""
"428",test,C2_108_DV_282_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",458706,l,3128,"1",""
"395",test,DV_137_C2_137_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",460667,s,1168,"1",""
"399",test,DV_089_C2_089_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",462587,s,1120,"1",""
"383",test,DV_167_C2_167_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",464971,s,1586,"1",""
"394",test,DV_127_C2_127_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",467394,s,1623,"1",""
"378",test,C2_014_DV_014_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",470731,s,2540,"1",""
"418",test,C2_123_DV_223_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",476147,l,4621,"1",""
"430",test,DV_231_C2_259_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",478787,l,1855,"1",""
"424",test,DV_208_C2_206_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",481300,l,1715,"1",""
"376",test,C2_113_DV_113_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",483931,s,1843,"1",""
"402",test,DV_027_C2_027_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",485955,s,1232,"1",""
"415",test,DV_178_C2_060_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",490915,l,4173,"1",""
"419",test,C2_246_DV_160_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",492972,l,1258,"1",""
"390",test,DV_046_C2_046_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",495107,s,1341,"1",""
"386",test,C2_034_DV_034_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",499955,s,4054,"1",""
"379",test,C2_045_DV_045_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",501883,s,1126,"1",""
"434",test,C2_265_DV_287_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",504108,l,1432,"1",""
"432",test,DV_094_C2_022_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",506987,l,2093,"1",""
"401",test,C2_157_DV_157_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",509251,s,1471,"1",""
"393",test,C2_256_DV_256_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",511314,s,1265,"1",""
"425",test,DV_215_C2_050_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",515387,l,3286,"1",""
"407",test,DV_091_C2_211_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",517491,l,1319,"1",""
"426",test,DV_219_C2_135_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",519674,l,1384,"1",""
"435",test,C2_242_DV_254_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",521707,l,1248,"1",""
"384",test,DV_087_C2_087_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",524043,s,1549,"1",""
"413",test,DV_295_C2_216_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",528564,l,3733,"1",""
