subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,ethnicity,duration_s
"2",Chrome,120.0.0.0,1920,1080,Windows,en-GB,2024-01-15_14:20:26,2024-01-15_14:20:26,2023-12-13_11:01:32,https://www.testable.org/experiment/14865/146518/start,0.72,SZ4,"19",woman,White,781.19

rowNo,type,stim1,stimFormat,ITI,key,keyboard,random,head,body,responseType,responseOptions,pageBreak,fixation,subjectGroup,cursor,identity condition,Time,time_block,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"130",test,C2_053_DV_053_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",254670,s,23198,"1",""
"153",test,C2_071_DV_071_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",262916,s,7455,"1",""
"148",test,DV_190_C2_190_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",266716,s,3013,"1",""
"136",test,C2_226_DV_226_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",270196,l,2689,"0",""
"146",test,DV_062_C2_062_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",274812,l,3819,"0",""
"182",test,DV_078_C2_125_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.69",277868,l,2270,"1",""
"127",test,DV_002_C2_002_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",282612,s,3944,"1",""
"185",test,C2_077_DV_133_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",288516,l,5110,"1",""
"162",test,C2_179_DV_021_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",296948,l,7636,"1",""
"181",test,DV_303_C2_217_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.69",301508,l,3771,"1",""
