subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,ethnicity,duration_s
"4",Chrome,120.0.0.0,1920,1080,Windows,en-GB,2024-01-16_12:18:35,2024-01-16_12:18:35,2023-12-13_11:01:32,https://www.testable.org/experiment/14865/146518/start,0.69,EPB6,"23",man,White,490.143

rowNo,type,stim1,stimFormat,ITI,key,keyboard,random,head,body,responseType,responseOptions,pageBreak,fixation,subjectGroup,cursor,identity condition,Time,time_block,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"377",test,DV_015_C2_015_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",144050,s,6185,"1",""
"403",test,C2_194_DV_194_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",147586,s,2748,"1",""
"387",test,C2_172_DV_172_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",149818,s,1442,"1",""
"393",test,C2_256_DV_256_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",154154,s,3543,"1",""
"424",test,DV_208_C2_206_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",156386,l,1438,"1",""
"392",test,DV_041_C2_041_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",162930,l,5746,"0",""
"402",test,DV_027_C2_027_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",165354,s,1630,"1",""
"383",test,DV_167_C2_167_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",171866,l,5723,"0",""
"384",test,DV_087_C2_087_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",175730,s,3064,"1",""
"382",test,C2_152_DV_152_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",179074,s,2554,"1",""
"415",test,DV_178_C2_060_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",181698,l,1825,"1",""
"427",test,DV_170_C2_270_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",183690,l,1198,"1",""
"398",test,C2_153_DV_153_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",186394,s,1916,"1",""
"388",test,C2_155_DV_155_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",188402,s,1222,"1",""
"395",test,DV_137_C2_137_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",190890,s,1691,"1",""
"419",test,C2_246_DV_160_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",192842,l,1157,"1",""
"407",test,DV_091_C2_211_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",194770,l,1133,"1",""
"411",test,DV_024_C2_085_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",196850,l,1295,"1",""
"433",test,C2_205_DV_048_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",199402,l,1761,"1",""
"420",test,DV_114_C2_126_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",201706,l,1513,"1",""
"435",test,C2_242_DV_254_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",203618,l,1122,"1",""
"390",test,DV_046_C2_046_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",208226,s,3812,"1",""
"431",test,C2_139_DV_120_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",210042,l,1023,"1",""
"394",test,DV_127_C2_127_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",212266,s,1429,"1",""
"379",test,C2_045_DV_045_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",214754,s,1698,"1",""
"423",test,C2_261_DV_201_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",216762,l,1220,"1",""
"413",test,DV_295_C2_216_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",218682,l,1121,"1",""
"400",test,DV_147_C2_147_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",224378,l,4899,"0",""
"396",test,DV_141_C2_141_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",226762,s,1594,"1",""
"416",test,C2_011_DV_049_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",228858,l,1304,"1",""
"391",test,C2_207_DV_207_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",232122,s,2466,"1",""
"428",test,C2_108_DV_282_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",234002,l,1093,"1",""
"417",test,C2_171_DV_185_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",235930,l,1135,"1",""
"385",test,DV_103_C2_103_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",238122,s,1392,"1",""
"429",test,DV_154_C2_042_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",240258,l,1343,"1",""
"434",test,C2_265_DV_287_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",243594,l,2543,"1",""
"399",test,DV_089_C2_089_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",246450,s,2062,"1",""
"418",test,C2_123_DV_223_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",248178,l,938,"1",""
"401",test,C2_157_DV_157_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",250618,s,1643,"1",""
"386",test,C2_034_DV_034_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",252402,l,991,"0",""
"421",test,C2_218_DV_109_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",254730,l,1534,"1",""
"381",test,C2_293_DV_293_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",259026,s,3511,"1",""
"410",test,DV_052_C2_264_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",260986,l,1166,"1",""
"414",test,DV_143_C2_132_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",263050,l,1279,"1",""
"425",test,DV_215_C2_050_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",265377,l,1537,"1",""
"408",test,C2_003_DV_018_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",267482,l,1306,"1",""
"426",test,DV_219_C2_135_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",270026,l,1748,"1",""
"405",test,C2_243_DV_243_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",271866,s,1052,"1",""
"378",test,C2_014_DV_014_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",273698,s,1032,"1",""
"412",test,C2_099_DV_025_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",275458,l,974,"1",""
"409",test,C2_031_DV_083_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",277834,l,1581,"1",""
"376",test,C2_113_DV_113_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",281730,s,3109,"1",""
"422",test,DV_097_C2_007_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",283674,l,1149,"1",""
"389",test,C2_247_DV_247_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",286050,s,1589,"1",""
"380",test,C2_302_DV_302_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",288178,s,1331,"1",""
"404",test,C2_257_DV_257_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",289842,s,877,"1",""
"432",test,DV_094_C2_022_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",291938,l,1304,"1",""
"406",test,C2_075_DV_074_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",294186,l,1450,"1",""
"397",test,DV_100_C2_100_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",296490,s,1519,"1",""
"430",test,DV_231_C2_259_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",298434,l,1144,"1",""
"436",form,"","","","","","",How stressed did you feel during the previous task?,"-10 being completely relaxed, 0 being neither relaxed nor stressed, and +10 being extremely stressed",slider,-10_10_1,"1","","4","","",present,"",801,"","",312810,-3,13855,"0",-3
"454",test,C2_146_DV_146_00,.jpg,"800",s,s l,"2","","","","","",ITI,"4",hide,Match,absent,"2",801,48,"16.68",328794,s,1941,"1",""
"470",test,C2_012_DV_245_00,.jpg,"800",l,s l,"2","","","","","",ITI,"4",hide,Mismatch,absent,"2",801,48,"16.68",332177,l,2589,"1",""
"438",test,DV_002_C2_002_00,.jpg,"800",s,s l,"2","","","","","",ITI,"4",hide,Match,absent,"2",801,48,"16.69",334249,s,1274,"1",""
"480",test,DV_130_C2_253_00,.jpg,"800",l,s l,"2","","","","","",ITI,"4",hide,Mismatch,absent,"2",801,48,"16.68",339434,l,4390,"1",""
"444",test,DV_118_C2_118_00,.jpg,"800",s,s l,"2","","","","","",ITI,"4",hide,Match,absent,"2",801,48,"16.68",341489,s,1257,"1",""
"492",test,DV_303_C2_217_00,.jpg,"800",l,s l,"2","","","","","",ITI,"4",hide,Mismatch,absent,"2",801,48,"16.69",343769,s,1485,"0",""
"484",test,C2_095_DV_229_00,.jpg,"800",l,s l,"2","","","","","",ITI,"4",hide,Mismatch,absent,"2",801,48,"16.69",346474,l,1903,"1",""
"461",test,C2_105_DV_105_00,.jpg,"800",s,s l,"2","","","","","",ITI,"4",hide,Match,absent,"2",801,48,"16.68",348785,s,1512,"1",""
"494",test,C2_037_DV_030_00,.jpg,"800",l,s l,"2","","","","","",ITI,"4",hide,Mismatch,absent,"2",801,48,"16.69",350922,l,1346,"1",""
"458",test,C2_131_DV_131_00,.jpg,"800",s,s l,"2","","","","","",ITI,"4",hide,Match,absent,"2",801,48,"16.68",354193,s,2482,"1",""
"493",test,DV_078_C2_125_00,.jpg,"800",l,s l,"2","","","","","",ITI,"4",hide,Mismatch,absent,"2",801,48,"16.68",356330,l,1349,"1",""
"442",test,C2_032_DV_032_00,.jpg,"800",s,s l,"2","","","","","",ITI,"4",hide,Match,absent,"2",801,48,"16.68",358417,s,1301,"1",""
"486",test,C2_174_DV_183_00,.jpg,"800",l,s l,"2","","","","","",ITI,"4",hide,Mismatch,absent,"2",801,48,"16.69",360521,l,1303,"1",""
"482",test,C2_023_DV_304_00,.jpg,"800",l,s l,"2","","","","","",ITI,"4",hide,Mismatch,absent,"2",801,48,"16.68",362802,l,1481,"1",""
"479",test,C2_070_DV_128_00,.jpg,"800",l,s l,"2","","","","","",ITI,"4",hide,Mismatch,absent,"2",801,48,"16.69",364945,l,1356,"1",""
"455",test,C2_271_DV_271_00,.jpg,"800",s,s l,"2","","","","","",ITI,"4",hide,Match,absent,"2",801,48,"16.68",366874,s,1132,"1",""
"466",test,C2_140_DV_140_00,.jpg,"800",s,s l,"2","","","","","",ITI,"4",hide,Match,absent,"2",801,48,"16.69",368857,s,1197,"1",""
"485",test,DV_007_C2_098_00,.jpg,"800",l,s l,"2","","","","","",ITI,"4",hide,Mismatch,absent,"2",801,48,"16.69",370873,l,1228,"1",""
"448",test,C2_142_DV_142_00,.jpg,"800",s,s l,"2","","","","","",ITI,"4",hide,Match,absent,"2",801,48,"16.68",372833,s,1169,"1",""
"472",test,C2_009_DV_033_00,.jpg,"800",l,s l,"2","","","","","",ITI,"4",hide,Mismatch,absent,"2",801,48,"16.69",375458,l,1825,"1",""
"449",test,C2_112_DV_112_00,.jpg,"800",s,s l,"2","","","","","",ITI,"4",hide,Match,absent,"2",801,48,"16.68",377625,s,1373,"1",""
"481",test,DV_067_C2_057_00,.jpg,"800",l,s l,"2","","","","","",ITI,"4",hide,Mismatch,absent,"2",801,48,"16.69",380897,l,2477,"1",""
"490",test,C2_289_DV_039_00,.jpg,"800",l,s l,"2","","","","","",ITI,"4",hide,Mismatch,absent,"2",801,48,"16.69",382930,l,1239,"1",""
"450",test,DV_064_C2_064_00,.jpg,"800",s,s l,"2","","","","","",ITI,"4",hide,Match,absent,"2",801,48,"16.68",385761,s,2035,"1",""
"451",test,DV_004_C2_004_00,.jpg,"800",s,s l,"2","","","","","",ITI,"4",hide,Match,absent,"2",801,48,"16.68",388138,s,1575,"1",""
"447",test,C2_226_DV_226_00,.jpg,"800",s,s l,"2","","","","","",ITI,"4",hide,Match,absent,"2",801,48,"16.68",390273,s,1342,"1",""
"465",test,DV_166_C2_166_00,.jpg,"800",s,s l,"2","","","","","",ITI,"4",hide,Match,absent,"2",801,48,"16.69",392289,s,1223,"1",""
"469",test,C2_038_DV_081_00,.jpg,"800",l,s l,"2","","","","","",ITI,"4",hide,Mismatch,absent,"2",801,48,"16.69",394754,l,1668,"1",""
"457",test,DV_062_C2_062_00,.jpg,"800",s,s l,"2","","","","","",ITI,"4",hide,Match,absent,"2",801,48,"16.68",401849,s,6295,"1",""
"462",test,DV_200_C2_200_00,.jpg,"800",s,s l,"2","","","","","",ITI,"4",hide,Match,absent,"2",801,48,"16.68",403857,s,1212,"1",""
"478",test,C2_092_DV_227_00,.jpg,"800",l,s l,"2","","","","","",ITI,"4",hide,Mismatch,absent,"2",801,48,"16.68",405930,l,1283,"1",""
"440",test,C2_036_DV_036_00,.jpg,"800",s,s l,"2","","","","","",ITI,"4",hide,Match,absent,"2",801,48,"16.68",407865,s,1150,"1",""
"483",test,C2_288_DV_255_00,.jpg,"800",l,s l,"2","","","","","",ITI,"4",hide,Mismatch,absent,"2",801,48,"16.68",410578,l,1926,"1",""
"474",test,DV_203_C2_277_00,.jpg,"800",l,s l,"2","","","","","",ITI,"4",hide,Mismatch,absent,"2",801,48,"16.68",413785,l,2415,"1",""
"468",test,DV_059_C2_055_00,.jpg,"800",l,s l,"2","","","","","",ITI,"4",hide,Mismatch,absent,"2",801,48,"16.68",416722,l,2148,"1",""
"443",test,C2_182_DV_182_00,.jpg,"800",s,s l,"2","","","","","",ITI,"4",hide,Match,absent,"2",800,48,"16.68",420074,s,2564,"1",""
"496",test,C2_077_DV_133_00,.jpg,"800",l,s l,"2","","","","","",ITI,"4",hide,Mismatch,absent,"2",801,48,"16.69",422098,l,1234,"1",""
"445",test,C2_294_DV_294_00,.jpg,"800",s,s l,"2","","","","","",ITI,"4",hide,Match,absent,"2",801,48,"16.68",424770,s,1871,"1",""
