subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,ethnicity,duration_s
"4",Chrome,120.0.0.0,1920,1080,Windows,en-GB,2024-01-16_12:38:16,2024-01-16_12:38:16,2023-12-13_11:01:32,https://www.testable.org/experiment/14865/146518/start,0.7,ZD8,"18",woman,White,918.168

rowNo,type,stim1,stimFormat,ITI,key,keyboard,random,head,body,responseType,responseOptions,pageBreak,fixation,subjectGroup,cursor,identity condition,Time,time_block,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"383",test,DV_167_C2_167_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",466680,l,4550,"0",""
"431",test,C2_139_DV_120_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",469112,l,1645,"1",""
"422",test,DV_097_C2_007_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",471151,l,1249,"1",""
"411",test,DV_024_C2_085_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",474704,l,2766,"1",""
"413",test,DV_295_C2_216_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",477967,l,2476,"1",""
"408",test,C2_003_DV_018_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",480536,l,1774,"1",""
"426",test,DV_219_C2_135_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",483760,l,2429,"1",""
"427",test,DV_170_C2_270_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",486704,l,2153,"1",""
"389",test,C2_247_DV_247_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",489160,s,1656,"1",""
"397",test,DV_100_C2_100_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",494536,l,4579,"0",""
"421",test,C2_218_DV_109_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",497536,l,2208,"1",""
"406",test,C2_075_DV_074_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",501312,l,2981,"1",""
"403",test,C2_194_DV_194_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",504448,s,2346,"1",""
"400",test,DV_147_C2_147_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",508480,l,3242,"0",""
"381",test,C2_293_DV_293_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",513704,s,4428,"1",""
"377",test,DV_015_C2_015_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",518064,s,3567,"1",""
"398",test,C2_153_DV_153_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",521279,s,2428,"1",""
"409",test,C2_031_DV_083_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",523504,l,1432,"1",""
"435",test,C2_242_DV_254_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",526320,l,2029,"1",""
"423",test,C2_261_DV_201_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",528824,l,1714,"1",""
"410",test,DV_052_C2_264_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",531032,l,1419,"1",""
"405",test,C2_243_DV_243_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",534504,s,2673,"1",""
"412",test,C2_099_DV_025_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",537344,l,2042,"1",""
"407",test,DV_091_C2_211_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",539456,l,1317,"1",""
"419",test,C2_246_DV_160_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",543016,l,2759,"1",""
"388",test,C2_155_DV_155_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",546288,s,2478,"1",""
"376",test,C2_113_DV_113_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",550343,l,3264,"0",""
"382",test,C2_152_DV_152_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",553648,s,2513,"1",""
"401",test,C2_157_DV_157_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",557544,s,3107,"1",""
"404",test,C2_257_DV_257_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",561424,s,3083,"1",""
