subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,ethnicity,duration_s
"2",Chrome,120.0.0.0,1920,1080,Windows,en-GB,2024-01-16_12:56:28,2024-01-16_12:56:28,2023-12-13_11:01:32,https://www.testable.org/experiment/14865/146518/start,0.7,ch9,"20",woman,White,925.943

rowNo,type,stim1,stimFormat,ITI,key,keyboard,random,head,body,responseType,responseOptions,pageBreak,fixation,subjectGroup,cursor,identity condition,Time,time_block,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"163",test,DV_203_C2_277_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",327608,l,94618,"1",""
"145",test,C2_181_Dv_181_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",334670,s,6268,"1",""
"131",test,C2_032_DV_032_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",338254,s,2796,"1",""
"156",test,C2_290_DV_290_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",341526,s,2481,"0",""
"180",test,C2_051_DV_238_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",345653,l,3339,"1",""
"139",test,DV_064_C2_064_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",354574,s,8122,"1",""
"146",test,DV_062_C2_062_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",358758,s,3397,"1",""
"181",test,DV_303_C2_217_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",365726,l,6177,"1",""
"134",test,C2_294_DV_294_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",370910,s,4388,"1",""
"173",test,C2_095_DV_229_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",381222,l,9511,"1",""
"135",test,C2_291_DV_291_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",387309,s,5289,"1",""
"140",test,DV_004_C2_004_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",389478,s,1368,"1",""
"164",test,DV_044_C2_240_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.69",393070,l,2808,"1",""
"159",test,C2_012_DV_245_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",396357,l,2491,"1",""
"137",test,C2_142_DV_142_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",398901,s,1749,"1",""
"154",test,DV_166_C2_166_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",406030,s,6341,"1",""
"182",test,DV_078_C2_125_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",413173,l,6344,"1",""
"171",test,C2_023_DV_304_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.69",415709,l,1740,"1",""
"185",test,C2_077_DV_133_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",424790,l,8285,"1",""
"184",test,DV_237_C2_297_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.69",427942,l,2361,"1",""
"169",test,DV_130_C2_253_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",432877,l,4143,"1",""
"144",test,C2_271_DV_271_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",443022,s,9349,"1",""
"152",test,DV_008_C2_008_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",449821,s,6005,"1",""
"149",test,C2_260_DV_260_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",452685,s,2079,"1",""
"155",test,C2_140_DV_140_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",459166,s,5690,"1",""
"167",test,C2_092_DV_227_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.69",463285,l,3320,"1",""
"166",test,C2_222_DV_204_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.69",467293,l,3207,"1",""
"160",test,C2_035_DV_019_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.69",474797,l,6707,"1",""
"176",test,DV_129_C2_199_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",481493,l,5896,"1",""
"132",test,C2_182_DV_182_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",487822,s,5534,"1",""
"128",test,C2_080_DV_080_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",492133,s,3523,"1",""
"153",test,C2_071_DV_071_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",497877,s,4946,"1",""
"142",test,C2_258_DV_258_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",506085,s,7415,"1",""
"151",test,DV_200_C2_200_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",509062,s,2183,"1",""
"141",test,C2_040_DV_040_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",514229,s,4381,"1",""
"136",test,C2_226_DV_226_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",516869,s,1849,"1",""
"157",test,DV_059_C2_055_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.69",519878,l,2221,"1",""
"161",test,C2_009_DV_033_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.69",529725,s,9049,"0",""
"133",test,DV_118_C2_118_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",535013,s,4495,"1",""
"150",test,C2_105_DV_105_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",537693,s,1886,"1",""
"143",test,C2_146_DV_146_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",540597,s,2103,"1",""
"158",test,C2_038_DV_081_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",545813,l,4417,"1",""
"172",test,C2_288_DV_255_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",548029,l,1427,"1",""
"183",test,C2_037_DV_030_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",551437,l,2616,"1",""
"174",test,DV_007_C2_098_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",558669,l,6445,"1",""
"148",test,DV_190_C2_190_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",566061,s,6596,"1",""
"130",test,C2_053_DV_053_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",568774,s,1918,"1",""
"165",test,DV_020_C2_090_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",575453,s,5878,"0",""
"178",test,DV_299_C2_111_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.69",578933,l,2686,"1",""
"147",test,C2_131_DV_131_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",589581,s,9863,"1",""
"177",test,C2_076_DV_079_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",594165,l,3787,"1",""
"168",test,C2_070_DV_128_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",600093,l,5144,"1",""
