subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,ethnicity,duration_s
"4",Chrome,120.0.0.0,1920,1080,Windows,en-GB,2024-01-16_13:13:15,2024-01-16_13:13:15,2023-12-13_11:01:32,https://www.testable.org/experiment/14865/146518/start,0.72,BS10,"18",woman,White,1099.715

rowNo,type,stim1,stimFormat,ITI,key,keyboard,random,head,body,responseType,responseOptions,pageBreak,fixation,subjectGroup,cursor,identity condition,Time,time_block,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"401",test,C2_157_DV_157_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",707295,s,4124,"1",""
"424",test,DV_208_C2_206_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",710791,l,2700,"1",""
"392",test,DV_041_C2_041_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",712846,s,1269,"1",""
"420",test,DV_114_C2_126_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",715191,s,1545,"0",""
"388",test,C2_155_DV_155_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",717295,s,1313,"1",""
"432",test,DV_094_C2_022_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",719831,l,1747,"1",""
"405",test,C2_243_DV_243_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",721791,s,1171,"1",""
"408",test,C2_003_DV_018_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",724711,l,2123,"1",""
"396",test,DV_141_C2_141_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",726639,s,1131,"1",""
"380",test,C2_302_DV_302_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",729007,s,1581,"1",""
"426",test,DV_219_C2_135_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",731583,l,1787,"1",""
"427",test,DV_170_C2_270_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",734031,l,1649,"1",""
"430",test,DV_231_C2_259_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",737231,l,2414,"1",""
"431",test,C2_139_DV_120_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",739167,l,1146,"1",""
"389",test,C2_247_DV_247_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",740983,s,1027,"1",""
"409",test,C2_031_DV_083_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",743078,l,1304,"1",""
"383",test,DV_167_C2_167_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",745719,s,1843,"1",""
"390",test,DV_046_C2_046_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",747919,s,1407,"1",""
"385",test,DV_103_C2_103_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",749999,s,1284,"1",""
"402",test,DV_027_C2_027_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",751927,s,1144,"1",""
"410",test,DV_052_C2_264_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",754854,l,2136,"1",""
"384",test,DV_087_C2_087_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",756975,s,1319,"1",""
"395",test,DV_137_C2_137_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",759735,s,1961,"1",""
"376",test,C2_113_DV_113_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",762159,s,1632,"1",""
"419",test,C2_246_DV_160_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",764519,l,1574,"1",""
"403",test,C2_194_DV_194_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",766487,s,1172,"1",""
"399",test,DV_089_C2_089_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",768799,s,1516,"1",""
