subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,ethnicity,duration_s
"3",Chrome,120.0.0.0,1920,1080,Windows,en-GB,2024-01-18_12:42:39,2024-01-18_12:42:39,2023-12-13_11:01:32,https://www.testable.org/experiment/14865/146518/start,0.57,EB14,"18",woman,White,625.132

rowNo,type,stim1,stimFormat,ITI,key,keyboard,random,head,body,responseType,responseOptions,pageBreak,fixation,subjectGroup,cursor,identity condition,Time,time_block,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"271",test,DV_141_C2_141_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",254784,s,1398,"1",""
"253",test,C2_014_DV_014_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",257703,s,2119,"1",""
"266",test,C2_207_DV_207_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.69",260862,s,2358,"1",""
"292",test,C2_171_DV_185_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.69",266224,l,4566,"1",""
"304",test,DV_154_C2_042_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",268479,l,1467,"1",""
"303",test,C2_108_DV_282_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",270303,l,1038,"1",""
"295",test,DV_114_C2_126_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",273038,l,1939,"1",""
"296",test,C2_218_DV_109_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.69",275295,l,1459,"1",""
"308",test,C2_205_DV_048_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.69",277752,l,1665,"1",""
"261",test,C2_034_DV_034_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.69",280624,l,2084,"0",""
"273",test,C2_153_DV_153_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",284271,s,2861,"1",""
"277",test,DV_027_C2_027_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.69",286943,s,1880,"1",""
"279",test,C2_257_DV_257_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",289582,s,1849,"1",""
"297",test,DV_097_C2_007_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",292063,l,1695,"1",""
"268",test,C2_256_DV_256_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",294543,s,1688,"1",""
"305",test,DV_231_C2_259_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",297623,l,2283,"1",""
"272",test,DV_100_C2_100_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",300120,s,1710,"1",""
"262",test,C2_172_DV_172_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",302687,s,1775,"1",""
"290",test,DV_178_C2_060_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",304439,l,957,"1",""
"299",test,DV_208_C2_206_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.69",306448,l,1214,"1",""
"282",test,DV_091_C2_211_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",308255,l,1019,"1",""
"264",test,C2_247_DV_247_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.69",312063,s,3009,"1",""
"265",test,DV_046_C2_046_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",314975,s,2117,"1",""
"300",test,DV_215_C2_050_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",318895,l,3134,"1",""
"288",test,DV_295_C2_216_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",321630,l,1950,"1",""
"251",test,C2_113_DV_113_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.69",323664,l,1246,"0",""
"260",test,DV_103_C2_103_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",800,48,"16.68",325239,s,787,"1",""
"306",test,C2_139_DV_120_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",328207,l,2169,"1",""
"252",test,DV_015_C2_015_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",331542,s,2536,"1",""
"287",test,C2_099_DV_025_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",333992,l,1648,"1",""
"283",test,C2_003_DV_018_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",336207,l,1427,"1",""
"284",test,C2_031_DV_083_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",338463,l,1464,"1",""
"301",test,DV_219_C2_135_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",340311,l,1061,"1",""
"269",test,DV_127_C2_127_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",342879,s,1776,"1",""
"307",test,DV_094_C2_022_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",348127,l,4455,"1",""
"275",test,DV_147_C2_147_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",352935,l,4008,"0",""
"267",test,DV_041_C2_041_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",356543,s,2812,"1",""
"263",test,C2_155_DV_155_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",358408,s,1072,"1",""
"285",test,DV_052_C2_264_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.69",360791,l,1587,"1",""
"294",test,C2_246_DV_160_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",364407,l,2817,"1",""
"255",test,C2_302_DV_302_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",366703,s,1510,"1",""
"309",test,C2_265_DV_287_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",370176,s,2681,"0",""
"281",test,C2_075_DV_074_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",373359,l,2394,"1",""
"310",test,C2_242_DV_254_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",375207,l,1056,"1",""
"293",test,C2_123_DV_223_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",377135,l,1131,"1",""
"291",test,C2_011_DV_049_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",379694,l,1772,"1",""
"276",test,C2_157_DV_157_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",381814,s,1322,"1",""
"254",test,C2_045_DV_045_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",383767,s,1156,"1",""
"258",test,DV_167_C2_167_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",386783,s,2221,"1",""
"257",test,C2_152_DV_152_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.69",389558,s,1976,"1",""
"286",test,DV_024_C2_085_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.69",391726,l,1374,"1",""
