subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,ethnicity,duration_s
"3",Chrome,120.0.0.0,1920,1080,Windows,en-GB,2024-01-22_13:11:58,2024-01-22_13:11:58,2023-12-13_11:01:32,https://www.testable.org/experiment/14865/146518/start,0.57,IW20,"19",woman,White,651.839

rowNo,type,stim1,stimFormat,ITI,key,keyboard,random,head,body,responseType,responseOptions,pageBreak,fixation,subjectGroup,cursor,identity condition,Time,time_block,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"278",test,C2_194_DV_194_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",171218,s,2491,"1",""
"272",test,DV_100_C2_100_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",173881,l,1868,"0",""
"309",test,C2_265_DV_287_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.69",177114,l,2431,"1",""
"269",test,DV_127_C2_127_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",180922,s,3020,"1",""
"308",test,C2_205_DV_048_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",186978,l,5255,"1",""
"259",test,DV_087_C2_087_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.69",192402,l,4640,"0",""
"294",test,C2_246_DV_160_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",199017,l,5817,"1",""
"256",test,C2_293_DV_293_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",201689,s,1882,"1",""
"255",test,C2_302_DV_302_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",205514,s,3037,"1",""
"307",test,DV_094_C2_022_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.69",207977,l,1663,"1",""
"262",test,C2_172_DV_172_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.69",213329,s,4563,"1",""
"304",test,DV_154_C2_042_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",218697,l,4576,"1",""
"302",test,DV_170_C2_270_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",224185,l,4692,"1",""
"288",test,DV_295_C2_216_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",226410,l,1427,"1",""
"275",test,DV_147_C2_147_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.69",232874,l,5672,"0",""
"273",test,C2_153_DV_153_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",235169,l,1495,"0",""
"260",test,DV_103_C2_103_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.69",238746,s,2785,"1",""
"291",test,C2_011_DV_049_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",243097,l,3567,"1",""
"285",test,DV_052_C2_264_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",245410,l,1525,"1",""
"297",test,DV_097_C2_007_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",247274,l,1070,"1",""
"290",test,DV_178_C2_060_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",250577,l,2505,"1",""
"283",test,C2_003_DV_018_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",254625,l,3250,"1",""
"279",test,C2_257_DV_257_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",257337,s,1925,"1",""
"286",test,DV_024_C2_085_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",262473,l,4341,"1",""
"299",test,DV_208_C2_206_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",264721,l,1451,"1",""
"251",test,C2_113_DV_113_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",268321,s,2815,"1",""
"282",test,DV_091_C2_211_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",270649,l,1540,"1",""
"298",test,C2_261_DV_201_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",276730,l,5284,"1",""
"281",test,C2_075_DV_074_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",278538,l,1020,"1",""
"254",test,C2_045_DV_045_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.69",281746,s,2409,"1",""
"253",test,C2_014_DV_014_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",284097,s,1557,"1",""
"274",test,DV_089_C2_089_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",288490,s,3598,"1",""
"289",test,DV_143_C2_132_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.69",292969,l,3689,"1",""
"300",test,DV_215_C2_050_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",295441,l,1674,"1",""
"305",test,DV_231_C2_259_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",298417,l,2180,"1",""
"261",test,C2_034_DV_034_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.69",302458,s,3251,"1",""
"280",test,C2_243_DV_243_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",307218,s,3974,"1",""
"270",test,DV_137_C2_137_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.69",311298,s,3282,"1",""
"268",test,C2_256_DV_256_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",316370,s,4284,"1",""
"264",test,C2_247_DV_247_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",321705,s,4548,"1",""
"263",test,C2_155_DV_155_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",323897,s,1401,"1",""
"295",test,DV_114_C2_126_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.69",325810,l,1127,"1",""
"257",test,C2_152_DV_152_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",328594,s,1993,"1",""
"266",test,C2_207_DV_207_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",332073,s,2686,"1",""
"292",test,C2_171_DV_185_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",335385,s,2512,"0",""
"301",test,DV_219_C2_135_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",338393,l,2217,"1",""
"267",test,DV_041_C2_041_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",346906,s,7726,"1",""
"258",test,DV_167_C2_167_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.69",349514,s,1809,"1",""
"276",test,C2_157_DV_157_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",353266,s,2958,"1",""
"296",test,C2_218_DV_109_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",358305,l,4244,"1",""
"303",test,C2_108_DV_282_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",362289,l,3189,"1",""
"306",test,C2_139_DV_120_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",364913,l,1826,"1",""
"293",test,C2_123_DV_223_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",370210,l,4503,"1",""
"271",test,DV_141_C2_141_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",373202,s,2207,"1",""
"265",test,DV_046_C2_046_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",376905,s,2907,"1",""
"287",test,C2_099_DV_025_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",380498,l,2796,"1",""
"284",test,C2_031_DV_083_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",382690,l,1401,"1",""
"310",test,C2_242_DV_254_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.69",384601,l,1127,"1",""
"252",test,DV_015_C2_015_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",390673,s,5281,"1",""
"277",test,DV_027_C2_027_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",392689,s,1224,"1",""
"311",form,"","","","","","",How stressed did you feel during the previous task?,"-10 being completely relaxed, 0 being neither relaxed nor stressed, and +10 being extremely stressed",slider,-10_10_1,"1","","3","","",absent,"",801,"","",408979,-10,15774,"0",-10
"324",test,C2_142_DV_142_00,.jpg,"800",s,s l,"2","","","","","",ITI,"3",hide,Match,present,"2",801,48,"16.68",440681,s,4338,"1",""
"320",test,DV_118_C2_118_00,.jpg,"800",s,s l,"2","","","","","",ITI,"3",hide,Match,present,"2",801,48,"16.69",445193,l,3711,"0",""
"334",test,C2_131_DV_131_00,.jpg,"800",s,s l,"2","","","","","",ITI,"3",hide,Match,present,"2",801,48,"16.68",447810,s,1823,"1",""
"369",test,DV_078_C2_125_00,.jpg,"800",l,s l,"2","","","","","",ITI,"3",hide,Mismatch,present,"2",801,48,"16.68",451457,l,2852,"1",""
"347",test,C2_035_DV_019_00,.jpg,"800",l,s l,"2","","","","","",ITI,"3",hide,Mismatch,present,"2",801,48,"16.68",455729,s,3487,"0",""
"356",test,DV_130_C2_253_00,.jpg,"800",l,s l,"2","","","","","",ITI,"3",hide,Mismatch,present,"2",801,48,"16.68",458137,l,1624,"1",""
"362",test,C2_174_DV_183_00,.jpg,"800",l,s l,"2","","","","","",ITI,"3",hide,Mismatch,present,"2",801,48,"16.68",461147,l,2215,"1",""
"343",test,C2_290_DV_290_00,.jpg,"800",s,s l,"2","","","","","",ITI,"3",hide,Mismatch,present,"2",801,48,"16.68",467161,s,5225,"1",""
"345",test,C2_038_DV_081_00,.jpg,"800",l,s l,"2","","","","","",ITI,"3",hide,Mismatch,present,"2",801,48,"16.69",469970,l,2010,"1",""
"336",test,C2_260_DV_260_00,.jpg,"800",s,s l,"2","","","","","",ITI,"3",hide,Match,present,"2",801,48,"16.68",474715,s,3954,"1",""
"318",test,C2_032_DV_032_00,.jpg,"800",s,s l,"2","","","","","",ITI,"3",hide,Match,present,"2",801,48,"16.68",479802,s,4301,"1",""
"363",test,DV_129_C2_199_00,.jpg,"800",l,s l,"2","","","","","",ITI,"3",hide,Mismatch,present,"2",801,48,"16.69",481667,l,1079,"1",""
"325",test,C2_112_DV_112_00,.jpg,"800",s,s l,"2","","","","","",ITI,"3",hide,Match,present,"2",801,48,"16.68",487137,s,4681,"1",""
"337",test,C2_105_DV_105_00,.jpg,"800",s,s l,"2","","","","","",ITI,"3",hide,Match,present,"2",801,48,"16.68",491746,s,3817,"1",""
"322",test,C2_291_DV_291_00,.jpg,"800",s,s l,"2","","","","","",ITI,"3",hide,Match,present,"2",801,48,"16.68",496906,s,4372,"1",""
"335",test,DV_190_C2_190_00,.jpg,"800",s,s l,"2","","","","","",ITI,"3",hide,Match,present,"2",801,48,"16.68",499810,s,2104,"1",""
"358",test,C2_023_DV_304_00,.jpg,"800",l,s l,"2","","","","","",ITI,"3",hide,Mismatch,present,"2",801,48,"16.68",502074,l,1465,"1",""
"326",test,DV_064_C2_064_00,.jpg,"800",s,s l,"2","","","","","",ITI,"3",hide,Match,present,"2",801,48,"16.68",506050,l,3188,"0",""
"328",test,C2_040_DV_040_00,.jpg,"800",s,s l,"2","","","","","",ITI,"3",hide,Match,present,"2",801,48,"16.68",510595,l,3747,"0",""
"338",test,DV_200_C2_200_00,.jpg,"800",s,s l,"2","","","","","",ITI,"3",hide,Match,present,"2",801,48,"16.69",513796,s,2409,"1",""
"316",test,C2_036_DV_036_00,.jpg,"800",s,s l,"2","","","","","",ITI,"3",hide,Match,present,"2",801,48,"16.69",516938,l,2348,"0",""
"342",test,C2_140_DV_140_00,.jpg,"800",s,s l,"2","","","","","",ITI,"3",hide,Match,present,"2",801,48,"16.69",520523,s,2796,"1",""
"344",test,DV_059_C2_055_00,.jpg,"800",l,s l,"2","","","","","",ITI,"3",hide,Mismatch,present,"2",801,48,"16.69",523195,l,1882,"1",""
"330",test,C2_146_DV_146_00,.jpg,"800",s,s l,"2","","","","","",ITI,"3",hide,Match,present,"2",801,48,"16.69",527130,s,3148,"1",""
"319",test,C2_182_DV_182_00,.jpg,"800",s,s l,"2","","","","","",ITI,"3",hide,Match,present,"2",801,48,"16.68",530459,s,2541,"1",""
"354",test,C2_092_DV_227_00,.jpg,"800",l,s l,"2","","","","","",ITI,"3",hide,Mismatch,present,"2",801,48,"16.68",532802,l,1547,"1",""
"331",test,C2_271_DV_271_00,.jpg,"800",s,s l,"2","","","","","",ITI,"3",hide,Match,present,"2",801,48,"16.69",536738,l,3147,"0",""
"340",test,C2_071_DV_071_00,.jpg,"800",s,s l,"2","","","","","",ITI,"3",hide,Match,present,"2",801,48,"16.69",541051,s,3523,"1",""
"323",test,C2_226_DV_226_00,.jpg,"800",s,s l,"2","","","","","",ITI,"3",hide,Match,present,"2",801,48,"16.69",545122,s,3272,"1",""
"348",test,C2_009_DV_033_00,.jpg,"800",l,s l,"2","","","","","",ITI,"3",hide,Mismatch,present,"2",801,48,"16.68",550675,l,4754,"1",""
"370",test,C2_037_DV_030_00,.jpg,"800",l,s l,"2","","","","","",ITI,"3",hide,Mismatch,present,"2",801,48,"16.69",552731,l,1256,"1",""
