subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,ethnicity,duration_s
"3",Chrome,120.0.0.0,1920,1080,Windows,en-GB,2024-01-22_13:24:57,2024-01-22_13:24:57,2023-12-13_11:01:32,https://www.testable.org/experiment/14865/146518/start,0.57,IL21,"18",woman,White,689.965

rowNo,type,stim1,stimFormat,ITI,key,keyboard,random,head,body,responseType,responseOptions,pageBreak,fixation,subjectGroup,cursor,identity condition,Time,time_block,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"274",test,DV_089_C2_089_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",332877,s,2539,"1",""
"273",test,C2_153_DV_153_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.69",335557,s,1885,"1",""
"299",test,DV_208_C2_206_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.69",337575,l,1216,"1",""
"287",test,C2_099_DV_025_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.69",339335,l,975,"1",""
"266",test,C2_207_DV_207_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.69",341573,s,1445,"1",""
"285",test,DV_052_C2_264_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",345999,l,3634,"1",""
"282",test,DV_091_C2_211_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.69",349319,s,2533,"0",""
"280",test,C2_243_DV_243_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.69",351109,s,1005,"1",""
"301",test,DV_219_C2_135_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",353573,s,1667,"0",""
"271",test,DV_141_C2_141_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",355565,s,1206,"1",""
"297",test,DV_097_C2_007_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",357397,l,1036,"1",""
"281",test,C2_075_DV_074_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.69",360078,l,1882,"1",""
"256",test,C2_293_DV_293_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",361757,s,892,"1",""
"303",test,C2_108_DV_282_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",364991,l,2441,"1",""
"288",test,DV_295_C2_216_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.69",367566,l,1779,"1",""
"270",test,DV_137_C2_137_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",371126,l,2769,"0",""
"306",test,C2_139_DV_120_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.69",375373,l,3446,"1",""
"263",test,C2_155_DV_155_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",377775,s,1611,"1",""
"267",test,DV_041_C2_041_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",379341,s,774,"1",""
"290",test,DV_178_C2_060_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",381269,l,1135,"1",""
"251",test,C2_113_DV_113_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.69",383246,s,1176,"1",""
"252",test,DV_015_C2_015_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",384941,s,903,"1",""
"293",test,C2_123_DV_223_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.69",386717,s,977,"0",""
"310",test,C2_242_DV_254_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",389917,l,2409,"1",""
"307",test,DV_094_C2_022_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",392101,l,1390,"1",""
"265",test,DV_046_C2_046_00,.jpg,"800",s,s l,"1","","","","","",ITI,"3",hide,Match,absent,"1",801,48,"16.68",393926,s,1029,"1",""
"295",test,DV_114_C2_126_00,.jpg,"800",l,s l,"1","","","","","",ITI,"3",hide,Mismatch,absent,"1",801,48,"16.68",396567,l,1851,"1",""
