subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,ethnicity,duration_s
"2",Chrome,120.0.0.0,1920,1080,Windows,en-GB,2024-01-23_12:54:45,2024-01-23_12:54:45,2023-12-13_11:01:32,https://www.testable.org/experiment/14865/146518/start,0.57,KK27,"19",woman,White,1173.856

rowNo,type,stim1,stimFormat,ITI,key,keyboard,random,head,body,responseType,responseOptions,pageBreak,fixation,subjectGroup,cursor,identity condition,Time,time_block,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"149",test,C2_260_DV_260_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",472400,s,5933,"1",""
"166",test,C2_222_DV_204_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",474579,l,1392,"1",""
"161",test,C2_009_DV_033_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",479514,l,4142,"1",""
"182",test,DV_078_C2_125_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",482665,s,2354,"0",""
"174",test,DV_007_C2_098_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.69",486521,s,3058,"0",""
"157",test,DV_059_C2_055_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.69",490762,l,3444,"1",""
"155",test,C2_140_DV_140_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",498714,l,7159,"0",""
"142",test,C2_258_DV_258_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",503299,s,3785,"1",""
"129",test,C2_036_DV_036_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",506043,s,1959,"1",""
"140",test,DV_004_C2_004_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",508259,s,1422,"1",""
"151",test,DV_200_C2_200_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",509787,l,732,"0",""
