subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,ethnicity,duration_s
"4",Chrome,121.0.0.0,1920,1080,Windows,en-GB,2024-02-02_14:33:46,2024-02-02_14:33:46,2023-12-13_11:01:32,https://www.testable.org/experiment/14865/146518/start,0.77,SR50,"19",man,White,469.11

rowNo,type,stim1,stimFormat,ITI,key,keyboard,random,head,body,responseType,responseOptions,pageBreak,fixation,subjectGroup,cursor,identity condition,Time,time_block,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"420",test,DV_114_C2_126_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",112258,l,1859,"1",""
"403",test,C2_194_DV_194_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",114482,s,1434,"1",""
"432",test,DV_094_C2_022_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",118001,l,2735,"1",""
"381",test,C2_293_DV_293_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",119889,s,1101,"1",""
"413",test,DV_295_C2_216_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",121841,l,1151,"1",""
"421",test,C2_218_DV_109_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",123722,l,1081,"1",""
"429",test,DV_154_C2_042_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",125738,l,1228,"1",""
"405",test,C2_243_DV_243_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",127481,s,952,"1",""
"412",test,C2_099_DV_025_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",129146,l,866,"1",""
"410",test,DV_052_C2_264_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",131346,l,1414,"1",""
