subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,ethnicity,duration_s
"4",Chrome,121.0.0.0,1920,1080,Windows,en-GB,2024-02-05_10:57:31,2024-02-05_10:57:31,2023-12-13_11:01:32,https://www.testable.org/experiment/14865/146518/start,0.66,FC54,"18",woman,White,554.073

rowNo,type,stim1,stimFormat,ITI,key,keyboard,random,head,body,responseType,responseOptions,pageBreak,fixation,subjectGroup,cursor,identity condition,Time,time_block,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"376",test,C2_113_DV_113_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",186728,s,3713,"1",""
"426",test,DV_219_C2_135_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",188616,l,1100,"1",""
"417",test,C2_171_DV_185_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",190872,l,1470,"1",""
"379",test,C2_045_DV_045_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",193128,s,1457,"1",""
"392",test,DV_041_C2_041_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",196304,s,2381,"1",""
"407",test,DV_091_C2_211_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",198296,l,1203,"1",""
"402",test,DV_027_C2_027_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",200520,s,1426,"1",""
"393",test,C2_256_DV_256_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",203607,s,2294,"1",""
"377",test,DV_015_C2_015_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",205488,s,1087,"1",""
"390",test,DV_046_C2_046_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",208480,s,2196,"1",""
"418",test,C2_123_DV_223_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",210791,l,1520,"1",""
"397",test,DV_100_C2_100_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",216176,s,4587,"1",""
"420",test,DV_114_C2_126_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",218991,l,2029,"1",""
"406",test,C2_075_DV_074_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",221895,l,2113,"1",""
"429",test,DV_154_C2_042_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",228968,l,6284,"1",""
"428",test,C2_108_DV_282_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",800,48,"16.68",233720,l,3962,"1",""
"425",test,DV_215_C2_050_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",235950,l,1438,"1",""
"384",test,DV_087_C2_087_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",238591,s,1842,"1",""
"421",test,C2_218_DV_109_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",241719,l,2335,"1",""
"400",test,DV_147_C2_147_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",244360,s,1856,"1",""
"411",test,DV_024_C2_085_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",246720,l,1563,"1",""
"413",test,DV_295_C2_216_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",250655,l,3147,"1",""
"396",test,DV_141_C2_141_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",253343,s,1896,"1",""
"403",test,C2_194_DV_194_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",256880,s,2747,"1",""
"410",test,DV_052_C2_264_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",259584,l,1915,"1",""
"381",test,C2_293_DV_293_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",262232,l,1860,"0",""
"405",test,C2_243_DV_243_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",264504,s,1480,"1",""
"414",test,DV_143_C2_132_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",266800,l,1506,"1",""
"383",test,DV_167_C2_167_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",269880,s,2284,"1",""
"419",test,C2_246_DV_160_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",272408,l,1743,"1",""
"394",test,DV_127_C2_127_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",275150,s,1949,"1",""
"415",test,DV_178_C2_060_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",800,48,"16.68",278496,l,2559,"1",""
"432",test,DV_094_C2_022_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",280968,s,1677,"0",""
"391",test,C2_207_DV_207_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",284935,s,3176,"1",""
"433",test,C2_205_DV_048_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",287176,l,1444,"1",""
"398",test,C2_153_DV_153_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",291623,s,3657,"1",""
"409",test,C2_031_DV_083_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",293704,l,1283,"1",""
"408",test,C2_003_DV_018_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",296591,l,2101,"1",""
"423",test,C2_261_DV_201_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",303463,l,6070,"1",""
"435",test,C2_242_DV_254_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",306007,l,1758,"1",""
"422",test,DV_097_C2_007_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",308471,l,1668,"1",""
"380",test,C2_302_DV_302_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",311632,s,2362,"1",""
"388",test,C2_155_DV_155_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",314519,s,2095,"1",""
"386",test,C2_034_DV_034_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",317872,s,2561,"1",""
"431",test,C2_139_DV_120_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",320344,l,1681,"1",""
"412",test,C2_099_DV_025_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",325054,l,3921,"1",""
"416",test,C2_011_DV_049_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.69",327408,l,1553,"1",""
"427",test,DV_170_C2_270_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",330758,s,2553,"0",""
"385",test,DV_103_C2_103_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",333640,s,2081,"1",""
"434",test,C2_265_DV_287_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",336503,l,2073,"1",""
"404",test,C2_257_DV_257_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.68",338799,s,1501,"1",""
"401",test,C2_157_DV_157_00,.jpg,"800",s,s l,"1","","","","","",ITI,"4",hide,Match,present,"1",801,48,"16.69",340903,s,1318,"1",""
"424",test,DV_208_C2_206_00,.jpg,"800",l,s l,"1","","","","","",ITI,"4",hide,Mismatch,present,"1",801,48,"16.68",345207,l,3504,"1",""
