subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,ethnicity,duration_s
"1",Chrome,121.0.0.0,1920,1080,Windows,en-GB,2024-02-09_12:08:48,2024-02-09_12:08:48,2023-12-13_11:01:32,https://www.testable.org/experiment/14865/146518/start,0.65,LB66,"18",woman,White,584.169

rowNo,type,stim1,stimFormat,ITI,key,keyboard,random,head,body,responseType,responseOptions,pageBreak,fixation,subjectGroup,cursor,required,identity condition,Time,time_block,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"45",test,C2_070_DV_128_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",294023,l,7803,"1",""
"11",test,C2_294_DV_294_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",296518,s,1709,"1",""
"9",test,C2_182_DV_182_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",298831,l,1520,"0",""
"53",test,DV_129_C2_199_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",305727,l,6097,"1",""
"61",test,DV_237_C2_297_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",800,48,"16.68",307647,l,1127,"1",""
"10",test,DV_118_C2_118_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",309495,s,1056,"1",""
"13",test,C2_226_DV_226_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",311159,s,868,"1",""
"15",test,C2_112_DV_112_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",313158,s,1199,"1",""
"6",test,C2_036_DV_036_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.68",314910,s,966,"1",""
"22",test,C2_181_Dv_181_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",316630,s,933,"1",""
"16",test,DV_064_C2_064_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",318319,s,888,"1",""
"48",test,C2_023_DV_304_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",320831,l,1714,"1",""
"58",test,DV_303_C2_217_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.68",323006,l,1387,"1",""
"60",test,C2_037_DV_030_00,.jpg,"800",l,s l,"1","","","","","",ITI,"1",hide,"",Mismatch,present,"1",801,48,"16.69",325471,l,1666,"1",""
"8",test,C2_032_DV_032_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",327181,s,924,"1",""
"31",test,DV_166_C2_166_00,.jpg,"800",s,s l,"1","","","","","",ITI,"1",hide,"",Match,present,"1",801,48,"16.69",329023,s,1049,"1",""
