subjectGroup,browser,version,screenWidth,screenHeight,OS,OS_lang,GMT_timestamp,local_timestamp,trial_file_version,link,calibration,id,age,gender,ethnicity,duration_s
"2",Chrome,121.0.0.0,1920,1080,Windows,en-GB,2024-02-09_13:55:48,2024-02-09_13:55:48,2023-12-13_11:01:32,https://www.testable.org/experiment/14865/146518/start,0.68,FL69,"19",woman,White,446.201

rowNo,type,stim1,stimFormat,ITI,key,keyboard,random,head,body,responseType,responseOptions,pageBreak,fixation,subjectGroup,cursor,identity condition,Time,time_block,ITI_ms,ITI_f,ITI_fDuration,timestamp,response,RT,correct,responseCode
"185",test,C2_077_DV_133_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.69",133094,l,3896,"1",""
"131",test,C2_032_DV_032_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",134757,s,874,"1",""
"172",test,C2_288_DV_255_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.69",136949,l,1398,"1",""
"134",test,C2_294_DV_294_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",138972,s,1236,"1",""
"179",test,C2_289_DV_039_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",141446,l,1674,"1",""
"162",test,C2_179_DV_021_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",146238,l,3998,"1",""
"169",test,DV_130_C2_253_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",148612,s,1584,"0",""
"143",test,C2_146_DV_146_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",150517,s,1119,"1",""
"170",test,DV_067_C2_057_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",153222,s,1905,"0",""
"129",test,C2_036_DV_036_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",155133,s,1113,"1",""
"127",test,DV_002_C2_002_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",156997,s,1076,"1",""
"181",test,DV_303_C2_217_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",159558,s,1768,"0",""
"176",test,DV_129_C2_199_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",162886,l,2544,"1",""
"150",test,C2_105_DV_105_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",164678,s,998,"1",""
"133",test,DV_118_C2_118_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",166573,s,1108,"1",""
"168",test,C2_070_DV_128_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.69",169718,l,2352,"1",""
"165",test,DV_020_C2_090_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",171917,l,1399,"1",""
"138",test,C2_112_DV_112_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",173812,s,1108,"1",""
"161",test,C2_009_DV_033_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",176101,s,1495,"0",""
"157",test,DV_059_C2_055_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",178285,l,1393,"1",""
"178",test,DV_299_C2_111_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",180245,l,1168,"1",""
"183",test,C2_037_DV_030_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.69",182333,l,1287,"1",""
"139",test,DV_064_C2_064_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",184197,s,1065,"1",""
"146",test,DV_062_C2_062_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",185950,s,965,"1",""
"151",test,DV_200_C2_200_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",187836,s,1102,"1",""
"142",test,C2_258_DV_258_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",189710,s,1072,"1",""
"132",test,C2_182_DV_182_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",191694,s,1188,"1",""
"159",test,C2_012_DV_245_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",194068,l,1577,"1",""
"182",test,DV_078_C2_125_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",198454,l,3593,"1",""
"166",test,C2_222_DV_204_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.69",200796,s,1549,"0",""
"130",test,C2_053_DV_053_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",202860,l,1276,"0",""
"158",test,C2_038_DV_081_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",204996,l,1344,"1",""
"180",test,C2_051_DV_238_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",800,48,"16.68",207013,l,1225,"1",""
"154",test,DV_166_C2_166_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",209581,s,1775,"1",""
"163",test,DV_203_C2_277_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",211565,l,1190,"1",""
"137",test,C2_142_DV_142_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",213358,s,996,"1",""
"160",test,C2_035_DV_019_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",215430,l,1284,"1",""
"136",test,C2_226_DV_226_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",217253,s,1038,"1",""
"167",test,C2_092_DV_227_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.69",219501,l,1450,"1",""
"128",test,C2_080_DV_080_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",221244,s,942,"1",""
"184",test,DV_237_C2_297_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.69",223212,l,1175,"1",""
"177",test,C2_076_DV_079_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.69",224902,l,896,"1",""
"149",test,C2_260_DV_260_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.69",226764,s,1073,"1",""
"135",test,C2_291_DV_291_00,.jpg,"800",s,s l,"1","","","","","",ITI,"2",hide,Match,absent,"1",801,48,"16.68",228622,s,1062,"1",""
"174",test,DV_007_C2_098_00,.jpg,"800",l,s l,"1","","","","","",ITI,"2",hide,Mismatch,absent,"1",801,48,"16.68",230502,s,1091,"0",""
